"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 09 14:48:30 UTC 2023","Sat Dec 09 14:48:33 UTC 2023","2476","tests","test_dynamic_content_page","","","","test_change_content[chromium]",""
"passed","Sat Dec 09 14:48:37 UTC 2023","Sat Dec 09 14:48:37 UTC 2023","430","tests","test_add_remove_page","","","","test_remove_element[webkit]",""
"skipped","Sat Dec 09 14:48:30 UTC 2023","Sat Dec 09 14:48:30 UTC 2023","267","tests","test_file_uploader_page","","","","test_upload_drag_and_drop_file[chromium]",""
"passed","Sat Dec 09 14:48:28 UTC 2023","Sat Dec 09 14:48:29 UTC 2023","409","tests","test_checkboxes_page","","","","test_present_checkboxes_page[chromium]",""
"passed","Sat Dec 09 14:48:29 UTC 2023","Sat Dec 09 14:48:30 UTC 2023","1363","tests","test_entry_ad_page","","","","test_close_popup[chromium]",""
"passed","Sat Dec 09 14:48:30 UTC 2023","Sat Dec 09 14:48:33 UTC 2023","2168","tests","test_entry_ad_page","","","","test_re_enable_popup[chromium]",""
"passed","Sat Dec 09 14:48:25 UTC 2023","Sat Dec 09 14:48:27 UTC 2023","1907","tests","test_challenging_dom_page","","","","test_unique_elements_after_click_button[chromium]",""
"passed","Sat Dec 09 14:48:29 UTC 2023","Sat Dec 09 14:48:29 UTC 2023","380","tests","test_file_uploader_page","","","","test_upload_file[chromium]",""
"passed","Sat Dec 09 14:48:43 UTC 2023","Sat Dec 09 14:48:44 UTC 2023","557","tests","test_drag_and_drop_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:45 UTC 2023","Sat Dec 09 14:49:09 UTC 2023","24215","tests","test_dynamic_content_page","","","","test_change_content[webkit]",""
"passed","Sat Dec 09 14:48:28 UTC 2023","Sat Dec 09 14:48:29 UTC 2023","444","tests","test_dropdown_page","","","","test_select_dropdown_element[chromium]",""
"passed","Sat Dec 09 14:48:27 UTC 2023","Sat Dec 09 14:48:28 UTC 2023","401","tests","test_disappearing_elements_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:42 UTC 2023","Sat Dec 09 14:48:44 UTC 2023","1390","tests","test_entry_ad_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:48:34 UTC 2023","Sat Dec 09 14:48:34 UTC 2023","271","tests","test_file_downloader_page","","","","test_go_to_page[chromium]",""
"passed","Sat Dec 09 14:49:09 UTC 2023","Sat Dec 09 14:49:11 UTC 2023","2300","tests","test_entry_ad_page","","","","test_close_popup[webkit]",""
"passed","Sat Dec 09 14:48:35 UTC 2023","Sat Dec 09 14:48:35 UTC 2023","370","tests","test_file_downloader_page","","","","test_file_download[chromium]",""
"passed","Sat Dec 09 14:49:12 UTC 2023","Sat Dec 09 14:49:12 UTC 2023","317","tests","test_exit_intent_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:49:07 UTC 2023","Sat Dec 09 14:49:09 UTC 2023","1219","tests","test_dynamic_loading_page","","","","test_first_example_show_load_bar[webkit]",""
"passed","Sat Dec 09 14:48:33 UTC 2023","Sat Dec 09 14:48:39 UTC 2023","5674","tests","test_dynamic_content_page","","","","test_dont_changed_content[chromium]",""
"passed","Sat Dec 09 14:49:13 UTC 2023","Sat Dec 09 14:49:19 UTC 2023","5934","tests","test_dynamic_loading_page","","","","test_second_example_final_text_present[webkit]",""
"passed","Sat Dec 09 14:48:24 UTC 2023","Sat Dec 09 14:48:25 UTC 2023","648","tests","test_add_remove_page","","","","test_add_multiple_elements[chromium]",""
"passed","Sat Dec 09 14:48:43 UTC 2023","Sat Dec 09 14:48:44 UTC 2023","729","tests","test_drag_and_drop_page","","","","test_drag_and_drop[webkit]",""
"passed","Sat Dec 09 14:48:45 UTC 2023","Sat Dec 09 14:49:07 UTC 2023","22274","tests","test_dropdown_page","","","","test_go_to_page[webkit]",""
"passed","Sat Dec 09 14:48:44 UTC 2023","Sat Dec 09 14:48:45 UTC 2023","536","tests","test_dropdown_page","","","","test_select_dropdown_element[webkit]",""
"passed","Sat Dec 09 14:48:35 UTC 2023","Sat Dec 09 14:48:36 UTC 2023","349","tests","test_add_remove_page","","","","test_go_add_remove_page[webkit]",""
